TargetName	S1	S2	S3	S4
CD52	8	21	16	10
CD53	12	26	10	14
CD55	37	28	27	28
CD58	19	33	15	26
CD59	56	68	66	58
CD5L	9	15	14	15
CD6	17	19	13	14
CD63	124	172	161	123
CD68	18	38	26	27
CD69	23	25	23	14
CD7	4	17	19	16
CD70	12	26	11	15
CD72	27	28	12	9
CD74	21	39	28	35
CD79A	21	35	23	19
CD79B	32	43	34	35
CD80	16	31	23	23
CD81	172	152	149	122
CD82	37	32	20	13
CD83	17	26	34	21
CD84	14	25	20	20
CD86	13	15	20	13
CD8A	14	37	31	21
CD8B,CD8B2	13	23	18	22
CD9	19	38	15	16
CD93	29	54	30	26
CD96	18	35	19	14
CD99	57	75	38	86
CDA	12	13	12	15
CDADC1	21	32	35	25
CDAN1	27	35	33	46
CDC123	41	33	71	28
CDC14A	25	21	9	14
CDC14B	38	40	29	29
CDC14C	17	15	12	10
CDC16	74	84	71	62
CDC20	75	37	25	38
CDC20B	7	24	13	16
CDC23	45	44	38	32
CDC25A	23	25	12	14
CDC25B	93	51	26	51
CDC25C	29	20	17	13
CDC26	48	71	60	41
CDC27	86	84	68	61
CDC34	58	76	84	77
CDC37	115	146	138	134
CDC37L1	27	63	53	43
CDC40	28	30	39	26
CDC42	152	206	274	109
CDC42BPA	29	30	35	17
CDC42BPB	57	66	108	73
CDC42BPG	14	24	32	18
CDC42EP1	59	88	48	88
CDC42EP2	18	31	28	21
CDC42EP3	21	60	46	66
CDC42EP4	89	93	117	68
CDC42EP5	14	30	12	19
CDC42SE1	42	70	77	47
CDC42SE2	64	60	118	43
CDC45	37	29	28	41
CDC5L	60	65	86	52
CDC6	38	37	19	30
CDC7	41	42	47	23
CDC73	81	75	56	55
CDCA2	31	26	14	18
CDCA3	26	17	12	21
CDCA5	37	33	39	34
CDCA7	116	76	14	79
CDCA7L	48	57	12	35
CDCP1	11	26	10	15
CDCP2	15	29	20	15
CDH1	20	26	16	18
CDH10	21	32	93	17
CDH11	32	38	80	31
CDH12	10	25	19	16
CDH13	50	49	67	37
CDH15	12	28	16	9
CDH16	13	11	11	14
CDH17	12	33	14	16
CDH18	9	50	27	11
CDH19	17	17	12	14
CDH2	327	217	209	180
CDH20	18	22	26	17
CDH22	13	25	20	23
CDH23	17	38	27	56
CDH24	147	113	76	127
CDH26	7	20	21	10
CDH3	19	36	30	22
CDH4	21	38	25	38
CDH5	21	30	16	28
CDH6	8	19	31	16
CDH7	7	25	21	17
CDH8	11	36	19	11
CDH9	14	9	14	13
CDHR1	20	42	24	40
CDHR2	16	28	17	12
CDHR3	22	20	46	20
CDHR4	6	21	9	14
CDHR5	16	24	21	15
CDIP1	34	60	49	43
CDIPT	43	57	96	54
CDK1	102	49	16	59
CDK10	53	51	49	37
CDK11A,CDK11B	63	90	102	77
CDK12	62	65	48	46
CDK13	45	71	44	44
CDK14	53	46	62	39
CDK15	22	38	30	24
CDK16	69	83	110	75
CDK17	61	89	59	54
CDK18	10	21	16	19
CDK19	78	116	144	86
CDK2	76	55	19	56
CDK20	19	23	17	16
CDK2AP1	160	211	40	295
CDK2AP2	44	54	44	45
CDK4,TSPAN31	100	84	68	106
CDK5	22	31	27	26
CDK5R1	94	176	485	166
CDK5R2	10	27	29	11
CDK5RAP1	13	19	18	20
CDK5RAP2	31	43	38	33
CDK5RAP3	79	114	90	77
CDK6	62	57	43	44
CDK7	26	29	29	37
CDK8	28	51	62	30
CDK9	101	102	146	104
CDKAL1	66	79	42	55
CDKL1	16	33	23	23
CDKL2	26	39	50	26
CDKL3	21	29	27	17
CDKL4	22	27	16	22
CDKN1A	20	40	25	29
CDKN1B	113	127	100	99
CDKN1C	19	24	71	42
CDKN2AIP	44	59	40	40
CDKN2AIPNL	39	45	52	32
CDKN2B,CDKN2A	35	51	45	53
CDKN2C	51	34	16	35
CDKN2D	102	86	285	91
CDKN3	42	34	17	26
CDNF	19	24	25	15
CDO1	184	182	51	101
CDON	19	53	46	99
CDPF1	37	54	36	35
CDR1	20	21	29	15
CDR2	36	41	56	21
CDR2L	17	35	31	31
CDRT15L2	13	29	17	16
CDRT4	40	61	62	42
CDS1	21	30	39	18
CDS2	2	11	11	9
CDSN	20	22	18	13
CDT1	37	23	22	19
CDV3	62	70	95	68
CDX1	15	33	24	20
CDX2	24	38	20	30
CDX4	18	40	16	15
CDY2A,CDY1,CDY2B,CDY1B	13	15	35	17
CDYL	23	35	20	34
CDYL2	13	21	25	16
CEACAM1,CEACAM3,CEACAM6	14	29	22	22
CEACAM16	20	38	22	19
CEACAM18	19	46	28	24
CEACAM19	21	43	41	28
CEACAM20	6	23	13	5
CEACAM21	13	31	14	14
CEACAM4	24	38	32	36
CEACAM5	20	39	22	18
CEACAM7	12	22	14	12
CEACAM8	25	31	25	30
CEBPA	7	31	25	13
CEBPB	7	17	10	11
CEBPE	15	28	15	18
CEBPG	36	50	58	57
CEBPZ	31	43	44	30
CEBPZOS	27	52	65	51
CECR2	55	51	18	66
CEL	24	32	19	30
CELA1	12	11	10	17
CELA2A	12	18	16	11
CELA2B	22	28	12	22
CELA3A	22	21	13	21
CELA3B	8	33	22	17
CELF1	114	148	187	116
CELF2	94	152	455	91
CELF3,SNX27	55	56	78	61
CELF4	39	83	149	45
CELF6	21	18	24	13
CELSR1	35	65	24	47
CELSR2	52	78	89	108
CELSR3	46	76	89	56
CEMIP	10	12	8	9
CEMIP2	73	52	24	24
CEMP1,AMDHD2	15	27	14	8
CEND1	15	37	31	24
CENPA	44	39	22	47
CENPB	42	46	54	29
CENPBD1	22	40	24	22
CENPC	59	62	44	40
CENPE	29	22	20	15
CENPF	140	57	23	81
CENPH	37	27	22	20
CENPI	49	52	22	55
CENPJ	37	44	43	30
CENPK	50	25	19	30
CENPL	16	28	17	25
CENPM	32	29	26	48
CENPN	37	31	21	26
CENPO	57	37	18	38
CENPP	27	32	23	30
CENPQ	17	17	20	16
CENPS	15	20	19	12
CENPT	20	21	24	25
CENPU	70	36	16	49
CENPV	34	27	21	22
CENPW	13	11	8	21
CENPX	51	85	78	60
CEP104	13	33	28	16
CEP112	28	17	18	16
CEP120	38	63	30	31
CEP126	17	29	19	21
CEP128	43	44	26	27
CEP131	23	34	23	15
CEP135	49	38	41	31
CEP152	28	30	18	23
CEP162	28	24	27	23
CEP164	56	61	63	52
CEP170	157	211	342	161
CEP170B	28	36	46	25
CEP19	21	23	28	26
CEP192	41	25	27	26
CEP250	44	73	78	48
CEP290	26	30	32	29
CEP295	21	22	26	18
CEP295NL	20	53	38	27
CEP350	29	31	13	31
CEP41	20	25	39	30
CEP44	34	46	25	32
CEP55	45	34	41	35
CEP57	43	63	98	38
CEP57L1	59	57	53	39
CEP63	17	39	37	24
CEP68	44	57	76	35
CEP70	51	54	37	40
CEP72	28	27	20	24
CEP76	19	31	21	17
CEP78	27	32	33	33
CEP83	47	27	16	21
CEP85	37	52	35	47
CEP85L	32	39	38	24
CEP89	36	43	41	21
CEP95	67	79	67	64
CEP97	86	89	60	68
CEPT1	29	52	55	29
CER1	25	21	14	24
CERCAM	51	44	47	38
CERK	32	46	32	22
CERKL	11	17	19	16
CERS2	46	60	37	51
CERS3	13	24	13	12
CERS4	36	56	100	55
CERS5	84	144	112	52
CERS6	106	98	131	69
CERT1,COL4A3BP	52	48	47	35
CES1,CES1P1	17	31	22	21
CES2	36	49	37	40
CES3	14	16	15	13
CES4A	14	25	49	24
CES5A	11	28	21	15
CETN1	15	23	15	9
CETN2	39	33	48	38
CETN3	38	47	36	41
CETP	20	30	22	12
CFAP100	4	6	7	9
CFAP126,SDHC	9	18	13	14
CFAP157,PTRH1	16	34	21	31
CFAP161	14	34	18	12
CFAP20	34	49	48	20
CFAP206	3	5	2	2
CFAP221	12	29	11	9
CFAP299	16	14	13	12
CFAP300	27	36	11	23
CFAP36	74	63	79	58
CFAP410	20	39	29	17
CFAP43	18	9	10	11
CFAP44	19	24	22	16
CFAP45	15	10	14	14
CFAP46	33	36	26	27
CFAP47	12	24	20	19
CFAP52	13	31	18	20
CFAP53	15	29	16	16
CFAP54	26	39	15	24
CFAP57	14	18	14	6
CFAP58	12	34	15	20
CFAP61	18	15	22	21
CFAP65	12	19	13	17
CFAP69	22	20	22	13
CFAP70	10	24	11	15
CFAP73	9	21	16	17
CFAP74	14	25	18	14
CFAP77	13	28	22	10
CFAP97	33	30	54	39
CFAP97D1	19	21	15	13
CFAP99	18	23	24	22
CFB	14	19	19	9
CFC1,CFC1B	16	25	18	25
CFDP1	97	127	145	94
CFH	19	28	29	11
CFHR1	16	30	24	17
CFHR2	18	21	15	13
CFHR3	11	16	14	12
CFHR4	9	22	18	13
CFHR5	13	35	11	16
CFI	16	26	26	22
CFL1	403	425	824	574
CFL2	26	46	37	24
CFLAR	34	38	43	25
CFP	17	25	18	21
CFTR	21	38	29	34
CGAS	9	27	14	19
CGB5,CGB8,CGB7,CGB1,CGB3,CGB2	36	63	47	60
CGGBP1	88	107	112	102
CGN	11	21	17	8
CGNL1	13	31	18	18
CGREF1	19	36	39	18
CGRRF1	35	50	26	32
CH25H	7	17	11	13
CHAC1	22	39	32	19
CHAC2	19	24	23	22
CHAD	16	23	10	16
CHADL	14	14	10	10
CHAF1A	37	52	32	62
CHAF1B	28	26	18	15
CHAMP1	45	52	44	51
CHAT	23	38	26	30
CHCHD1	33	47	50	36
CHCHD10	16	37	27	19
CHCHD2	136	143	100	107
CHCHD3	76	62	80	66
CHCHD4	11	28	15	20
CHCHD5	26	57	38	37
CHCHD6	16	30	55	25
CHCHD7	29	39	37	34
CHD1	61	78	58	68
CHD1L	32	43	22	42
CHD2	89	98	65	73
CHD3	200	151	378	153
CHD4	131	163	85	105
CHD5	124	101	173	82
CHD6	52	71	38	43
CHD7	249	178	21	136
CHD8	64	85	64	41
CHD9	48	90	46	40
CHDH	26	49	34	18
CHEK1	39	28	19	29
CHEK2	37	24	24	32
CHERP	42	55	79	40
CHFR	27	40	44	23
CHGA	19	43	68	64
CHGB	39	73	143	42
CHI3L1	15	31	25	19
CHI3L2	11	16	23	19
CHIA	20	19	14	14
CHIC1	44	53	47	40
CHIC2	82	54	48	39
CHID1	53	58	70	43
CHIT1	11	16	15	16
CHKA	30	36	54	26
CHKB	52	53	44	63
CHL1	135	156	758	68
CHM	24	36	35	30
CHML	80	57	54	42
CHMP1A	35	57	79	33
CHMP1B	78	99	62	56
CHMP2A	25	42	27	20
CHMP2B	28	39	34	13
CHMP3	36	58	63	58
CHMP4A	47	87	70	45
CHMP4B	56	67	102	63
CHMP4C	10	32	16	7
CHMP5	44	41	47	27
CHMP6	42	61	67	49
CHMP7	34	50	38	38
CHN1	23	36	54	19
CHN2	29	40	90	12
CHODL	16	36	14	15
CHORDC1	15	28	19	23
CHP1	23	34	64	28
CHP2	15	28	16	24
CHPF	24	62	62	36
CHPF2	9	19	13	14
CHPT1	31	47	49	23
CHRAC1	29	32	18	25
CHRD	20	34	17	26
CHRDL1	50	64	24	63
CHRDL2	14	31	14	18
CHRM2	9	18	11	17
CHRM3	51	74	70	62
CHRM4	13	34	16	16
CHRM5	14	27	23	14
CHRNA1	9	23	21	12
CHRNA10	25	36	19	17
CHRNA2	24	28	18	16
CHRNA3	18	31	16	18
CHRNA4	25	35	66	21
CHRNA5	20	27	17	28
CHRNA6	11	26	16	14
CHRNA7	19	40	21	22
CHRNA9	13	29	24	16
CHRNB1	17	44	35	20
CHRNB2,ADAR	61	84	53	83
CHRNB3	7	26	19	11
CHRNB4	13	24	15	16
CHRND	15	17	20	11
CHRNE	6	24	26	10
CHRNG	17	26	17	15
CHST1	21	46	39	15
CHST10	54	76	51	77
CHST11	17	35	57	19
CHST12	18	26	26	21
CHST13	11	26	25	17
CHST14	28	33	35	27
CHST15	19	44	162	27
CHST2	17	21	25	17
CHST3	30	23	14	24
CHST4	17	19	19	18
CHST5	155	145	93	118
CHST6	17	21	22	10
CHST7	7	14	7	11
CHST8	9	20	10	13
CHST9	24	33	16	16
CHSY1	43	37	37	44
CHSY3	22	31	83	24
CHTF18	15	25	34	24
CHTF8,DERPC	42	52	47	35
CHTOP	95	98	111	73
CHUK	39	40	50	32
CHURC1-FNTB,CHURC1	58	91	73	56
CHURC1-FNTB,FNTB	34	32	33	27
CIAO1	46	67	70	49
CIAO2A	50	57	31	47
CIAO2B	49	99	84	72
CIAO3	29	39	26	37
CIAPIN1	69	63	72	54
CIART	15	36	29	22
CIB1	30	21	14	31
CIB2	24	34	38	34
CIB3	24	23	13	12
CIB4	9	23	25	17
CIC	57	79	110	74
CIDEA	24	28	13	16
CIDEC	27	40	33	21
CIITA,DEXI	49	57	23	34
CILP	15	30	19	16
CILP2	11	25	15	18
CINP	25	39	31	25
CIP2A	62	39	31	43
CIPC	41	53	51	43
CIR1	28	36	48	41
CIRBP	187	328	267	222
CISD1	24	31	30	33
CISD2	34	42	40	31
CISD3	19	28	30	19
CISH	11	18	15	13
CIT	41	45	23	43
CITED1	13	26	12	14
CITED2	101	127	77	76
CITED4	11	26	19	12
CIZ1	69	90	82	77
CKAP2	55	37	16	28
CKAP2L	34	28	15	15
CKAP4	57	67	54	53
CKAP5	52	48	55	25
CKB	724	526	396	528
CKLF	28	42	29	26
CKM	52	83	57	48
CKMT1A,CKMT1B	12	35	48	29
CKMT2	8	13	14	10
CKS2	134	57	36	47
CLASP1	235	247	259	119
CLASP2	104	168	249	67
CLASRP	24	50	37	45
CLBA1	17	19	14	11
CLCA1	9	13	6	2
CLCA2	8	22	13	21
CLCA4	15	34	25	20
CLCC1	39	46	42	30
CLCF1	12	23	18	12
CLCN1	14	30	22	15
CLCN2	17	19	25	33
CLCN3	62	72	99	63
CLCN4	44	60	146	51
CLCN5	12	28	23	24
CLCN6	19	40	35	26
CLCN7	26	29	40	34
CLCNKA	10	17	12	13
CLCNKB	16	24	15	10
CLDN1	18	33	21	21
CLDN10	16	27	17	17
CLDN11	1	1	1	1
CLDN12	13	32	27	19
CLDN14	20	15	25	20
CLDN15	13	24	25	14
CLDN16	15	22	30	13
CLDN17	8	24	16	19
CLDN18	19	36	23	15
CLDN19	7	16	5	11
CLDN2	19	33	20	25
CLDN20	17	30	16	14
CLDN23	9	12	9	11
CLDN24,WWC2,CLDN22	11	28	20	15
CLDN25	15	32	22	27
CLDN3	18	28	18	15
CLDN34	16	22	17	11
CLDN4	16	22	18	23
CLDN5	68	90	65	61
CLDN6	15	23	22	11
CLDN7	7	28	11	19
CLDN8	13	19	21	17
CLDN9	14	25	19	15
CLDND1	65	95	63	85
CLDND2	9	11	18	14
CLEC10A	13	20	13	15
CLEC11A	29	42	23	34
CLEC12A	7	21	15	11
CLEC12B	20	49	31	37
CLEC14A	15	25	20	15
CLEC16A	28	44	36	37
CLEC17A	42	35	27	24
CLEC18A	38	35	37	39
CLEC18B	14	21	26	15
CLEC19A	15	16	13	14
CLEC1A	17	29	17	21
CLEC1B	9	25	15	18
CLEC2A	17	36	25	20
CLEC2B	16	29	15	9
CLEC2D	12	24	22	17
CLEC2L	9	21	6	8
CLEC3A	11	22	10	10
CLEC3B	23	20	37	34
CLEC4A	9	16	10	8
CLEC4C	15	18	11	11
CLEC4D	7	11	13	17
CLEC4E	12	23	12	12
CLEC4F	9	18	17	12
CLEC4G	20	24	26	27
CLEC4M	15	26	18	16
CLEC5A	12	16	10	12
CLEC6A	16	26	15	18
CLEC7A	8	19	9	9
CLEC9A	9	22	15	11
CLECL1	6	20	9	17
CLGN	39	48	21	18
CLHC1	21	34	26	15
CLIC1	68	108	30	63
CLIC2	15	26	27	16
CLIC3	18	28	20	21
CLIC4	105	101	47	68
CLIC5	16	17	30	12
CLIC6	12	24	16	11
CLINT1	26	45	41	33
CLIP1	59	74	91	73
CLIP2	74	84	221	86
CLIP3	256	313	368	244
CLIP4	14	36	27	19
CLK1	132	140	122	147
CLK2	65	56	55	41
CLK3	36	41	31	28
CLK4	50	67	53	53
CLLU1OS	16	23	11	20
CLMN	16	29	25	18
CLMP	12	40	35	68
CLN3	40	71	60	35
CLN5	18	27	22	14
CLN6	49	40	37	41
CLN8	8	18	19	15
CLNK	13	29	14	14
CLNS1A	84	98	53	64
CLOCK	24	34	30	26
CLP1	22	32	13	17
CLPB	34	36	50	25
CLPP	63	54	59	37
CLPS	6	25	10	18
CLPSL1	10	39	17	14
CLPSL2	16	32	25	19
CLPTM1	33	59	74	37
CLPTM1L	46	55	60	40
CLPX	62	85	71	68
CLRN1	10	12	11	16
CLRN2	13	22	13	13
CLRN3	10	25	15	10
CLSPN	38	21	17	17
CLSTN1	80	129	185	100
CLSTN2	18	19	23	14
CLSTN3	22	53	83	36
CLTA	106	119	165	86
CLTB	54	77	102	70
CLTC	99	122	192	82
CLTCL1	18	31	27	18
CLTRN	18	36	16	15
CLU	195	318	31	141
CLUAP1	38	50	48	24
CLUH	24	48	38	17
CLUL1	3	20	20	21
CLVS1	21	39	83	72
CLVS2	53	56	65	26
CLYBL	15	35	16	21
CMA1	30	48	51	39
CMAS	36	46	65	43
CMBL	12	29	27	17
CMC1	2	10	4	8
CMC2	76	66	85	100
CMC4,MTCP1	18	21	27	32
CMIP	3075	4498	4729	3562
CMKLR1	15	32	21	28
CMPK1	24	38	23	31
CMPK2	23	35	35	17
CMSS1	21	31	43	15
CMTM1	44	41	32	42
CMTM2	28	35	26	30
CMTM3	55	62	36	42
CMTM4	8	19	11	11
CMTM5	18	20	13	22
CMTM6	29	56	33	42
CMTM7	13	8	8	8
CMTM8	3	17	4	3
CMTR1	36	53	46	37
CMTR2	16	38	10	14
CMYA5	21	23	11	15
CNBD1	11	31	17	10
CNBD2	10	24	14	16
CNBP	129	160	87	115
CNDP1	11	19	22	23
CNDP2	35	55	48	38
CNEP1R1	21	32	20	7
CNFN	12	11	14	10
CNGA1	13	23	22	18
CNGA2	6	18	20	13
CNGA3	8	30	16	16
CNGA4	25	30	28	28
CNGB1	15	15	11	20
CNGB3	5	10	10	4
CNIH1	67	78	93	62
CNIH2	37	82	262	87
CNIH3	11	23	22	14
CNIH4	45	57	33	37
CNKSR1	14	37	21	26
CNKSR2	40	64	98	84
CNKSR3	19	33	19	23
CNMD	33	38	19	36
CNN1	11	18	14	20
CNN2	25	59	19	36
CNN3	238	372	92	147
CNNM1	38	36	34	33
CNNM2	27	24	27	21
CNNM3	79	95	77	90
CNNM4	30	32	44	28
CNOT1	75	62	45	58
CNOT10	41	43	29	34
CNOT11	19	38	28	32
CNOT2	74	105	91	81
CNOT3	64	75	57	69
CNOT4	71	81	70	71
CNOT6	60	72	65	43
CNOT6L	45	59	42	35
CNOT7	62	77	76	68
CNOT8	58	69	84	58
CNOT9	44	61	50	46
CNP	48	53	57	34
CNPPD1	60	69	113	50
CNPY1	13	16	15	9
CNPY2	19	26	18	28
CNPY3	52	61	69	49
CNPY3-GNMT,GNMT	8	12	15	8
CNPY4	25	27	34	29
CNR1	50	407	246	643
CNR2	20	38	27	24
CNRIP1	40	62	130	40
CNST	30	35	55	31
CNTD1	12	23	14	12
CNTD2	23	26	18	15
CNTF	23	26	20	27
CNTFR	119	164	105	123
CNTLN	47	37	41	30
CNTN1	37	85	299	44
CNTN2	12	36	54	49
CNTN3	23	34	106	43
CNTN4	21	29	31	12
CNTN5	14	19	21	7
CNTN6	11	18	22	7
CNTNAP1	21	31	41	17
CNTNAP2	23	46	87	79
CNTNAP3P2,CNTNAP3,CNTNAP3B,CNTNAP3C	26	48	320	39
CNTNAP4	18	47	19	15
CNTNAP5	20	32	22	23
CNTRL	61	53	38	48
CNTROB	32	39	27	42
COA1	42	58	47	41
COA3	39	62	51	53
COA4	49	45	32	43
COA5	52	41	40	34
COA6	21	58	27	18
COA7	16	29	37	30
COA8	51	61	52	26
COASY	10	31	21	30
COBL	53	37	21	16
COBLL1	15	22	20	18
COG1	12	18	23	19
COG2	61	64	39	47
COG3	19	34	42	15
COG4	50	68	55	51
COG5	50	47	56	33
COG6	17	52	41	29
COG7	26	33	38	32
COG8	33	48	38	23
COIL	21	48	29	32
COL10A1	14	27	25	21
COL11A1	120	152	31	171
COL11A2	4	7	2	2
COL12A1	22	33	23	12
COL13A1	13	30	17	13
COL14A1	6	27	23	11
COL15A1	13	54	32	35
COL16A1	29	65	51	44
COL17A1	21	41	28	21
COL1A1	13	37	29	24
COL1A2	161	56	34	52
COL20A1	15	23	22	18
COL21A1	15	31	13	14
COL22A1	16	23	14	16
COL23A1	8	13	21	17
COL24A1	11	28	14	12
COL25A1	6	19	17	13
COL26A1	17	25	18	18
COL27A1	21	32	12	21
COL28A1	16	19	13	16
COL3A1	21	29	23	28
COL4A2	50	68	73	47
COL4A3	18	33	25	17
COL4A4	22	28	19	24
COL4A5	40	54	15	61
COL5A1	42	44	17	30
COL5A2	27	33	30	30
COL5A3	14	28	21	19
COL6A2	44	93	51	39
COL6A5	15	25	8	13
COL6A6	9	19	14	15
COL7A1	15	29	23	17
COL8A1	36	62	42	35
COL8A2	8	19	17	12
COL9A1	42	59	24	49
COL9A2	34	52	51	53
COL9A3	22	28	51	26
COLCA2	14	25	40	29
COLEC10	19	25	28	18
COLEC11	11	30	13	17
COLEC12	23	20	16	9
COLGALT1	45	69	64	36
COLGALT2	15	25	42	15
COLQ	27	39	28	15
COMMD1	30	47	31	30
COMMD10	36	25	19	18
COMMD2	25	57	75	25
COMMD3	54	73	88	49
COMMD3-BMI1,BMI1	44	71	68	60
COMMD4	1	1	1	1
COMMD6	22	27	16	21
COMMD7	37	31	57	22
COMMD8	27	54	47	26
COMMD9	14	30	15	20
COMP	12	25	17	14
COMT	14	29	21	17
COMTD1	19	53	64	31
COP1	64	55	86	51
COPA	81	95	103	68
COPB1	49	69	71	49
COPB2	55	69	65	54
COPE	50	54	67	49
COPG1	28	41	41	23
COPG2	33	35	44	27
COPRS	37	29	47	28
COPS2	48	57	66	36
COPS3	28	60	68	57
COPS5	24	44	37	29
COPS6	79	70	94	42
COPS7A	26	40	29	19
COPS7B	13	11	12	6
COPS8	96	112	216	74
COPS9	34	53	45	51
COPZ1	59	82	67	88
COPZ2	16	20	24	20
COQ10A	12	24	20	18
COQ10B	18	21	35	20
COQ2	36	55	32	44
COQ3	24	33	30	27
COQ4	37	52	40	40
COQ5	25	24	19	27
COQ6	10	8	21	11
COQ7	38	49	38	33
COQ8A	14	13	10	17
COQ8B	44	52	52	46
COQ9	42	61	50	69
CORIN	24	33	27	24
CORO1A	32	44	51	22
CORO1B,PTPRCAP	28	27	14	22
CORO1C	153	145	80	141
CORO2A	6	20	22	15
CORO2B	77	117	61	98
CORO6	8	18	13	17
CORO7	18	33	27	20
CORT	15	9	12	12
COTL1	20	73	155	54
COX10	20	34	30	30
COX11	42	50	38	34
COX14	54	50	43	28
COX15	43	74	65	37
COX16	67	75	74	71
COX17	25	55	43	42
COX18	23	29	22	29
COX19	29	40	29	20
COX20	41	54	27	22
COX4I1	210	223	196	166
COX4I2	13	16	14	18
COX5A	71	79	120	61
COX5B	79	94	96	69
COX6A1	99	196	204	102
COX6A2	7	16	10	11
COX6B1	136	158	178	156
COX6B2	8	24	11	18
COX6C	128	151	153	130
COX7A1	17	19	16	13
COX7A2L	58	117	95	65
COX7B2	10	14	17	13
COX7C	252	348	274	308
COX8A	109	151	134	142
COX8C	9	10	9	7
CP	20	29	16	22
CPA1	25	47	38	19
CPA2	16	33	35	27
CPA3	12	25	23	15
CPA4	17	25	16	13
CPA5	16	28	21	19
CPA6	18	20	11	10
CPAMD8	23	39	19	35
CPB1	13	28	29	18
CPB2	24	49	35	27
CPD	35	48	40	34
CPEB1	17	18	24	18
CPEB2	26	46	67	36
CPEB3	35	47	58	31
CPEB4	23	50	91	38
CPED1	5	15	12	16
CPHXL	18	15	20	19
CPLANE1	55	74	67	54
CPLANE2	14	20	14	13
CPLX1	16	31	36	13
CPLX2	104	128	138	93
CPLX3	66	85	75	65
CPLX4	6	12	12	14
CPM	18	28	17	10
CPN1	12	26	19	20
CPN2	12	18	22	13
CPNE1	62	78	53	78
CPNE2	54	48	51	31
CPNE3	53	78	34	53
CPNE4	9	30	20	12
CPNE5	14	32	48	15
CPNE6	16	26	20	8
CPNE7	20	29	161	21
CPNE8	18	22	13	16
CPNE9	21	16	15	10
CPO	33	30	20	45
CPOX	26	28	49	30
CPQ	10	28	15	18
CPSF1	89	64	64	70
CPSF2	38	58	46	61
CPSF3	34	51	31	38
CPSF4	38	57	38	34
CPSF4L	26	29	16	21
CPSF6	124	135	118	148
CPSF7	67	81	77	75
CPT1A	46	86	80	59
CPT1B,CHKB-CPT1B	21	31	21	21
CPT1C	31	60	73	59
CPT2	18	38	33	22
CPTP	71	68	75	75
CPVL	22	23	30	18
CPXCR1	11	16	18	13
CPXM1	35	56	24	39
CPZ	11	36	27	22
CR1	24	36	34	21
CR1L	19	33	16	39
CR2	24	37	18	13
CRABP1	47	28	25	14
CRABP2	13	34	25	24
CRACD,KIAA1211	125	201	161	110
CRACR2A	13	17	16	8
CRACR2B	11	30	17	15
CRADD	27	30	19	20
CRAMP1	41	46	56	22
CRAT	28	56	43	37
CRB1	53	26	24	27
CRB2	22	51	18	30
CRB3	15	19	26	23
CRCP	38	75	62	51
CRCT1	5	10	9	4
CREB1	84	93	85	58
CREB3	41	62	65	54
CREB3L1	23	39	24	22
CREB3L2	13	20	15	12
CREB3L3	14	18	11	9
CREB3L4	18	36	16	14
CREB5	22	18	8	17
CREBBP	91	110	83	82
CREBL2	27	58	43	37
CREBRF	35	47	34	34
CREBZF	65	68	75	49
CREG1	17	46	32	22
CREG2	16	21	24	12
CRELD1	26	21	28	14
CRELD2	17	25	27	20
CREM	8	19	9	8
CRH	21	47	18	21
CRHBP	15	32	27	18
CRHR1	16	28	49	25
CRHR2	40	110	73	64
CRIM1	15	44	70	25
CRIP1	14	36	11	22
CRIP2	67	83	145	90
CRIP3	9	31	29	17
CRIPT	74	106	90	68
CRISP1	13	26	17	16
CRISP2	6	20	14	8
CRISP3	12	32	15	15
CRISPLD1	23	22	15	17
CRISPLD2	15	24	15	13
CRK	58	68	117	59
CRKL	74	76	53	67
CRLF1	9	19	11	8
CRLF2	15	29	22	18
CRLS1	33	43	33	36
CRNKL1	42	43	41	21
CRNN	7	17	15	9
CROCC	47	68	51	43
CROCC2	20	29	21	21
CROT	23	29	17	18
CRP	17	29	21	20
CRPPA	9	23	14	11
CRTAC1	18	29	53	16
CRTAM	14	19	16	9
CRTAP	22	39	30	39
CRTC1	42	60	89	36
CRTC2	14	22	18	18
CRTC3	30	50	35	37
CRX	95	158	209	136
CRY1	32	31	46	28
CRY2	25	42	59	28
CRYAA,CRYAA2	13	28	14	17
CRYAB	57	511	36	143
CRYBA1	21	29	18	25
CRYBA2	10	29	14	18
CRYBA4	15	22	14	13
CRYBB1	11	25	18	8
CRYBB2	22	31	31	23
CRYBB3	23	43	28	30
CRYBG1	14	22	21	12
CRYBG2	16	22	19	13
CRYBG3	23	41	26	20
CRYGA	22	28	26	16
CRYGC	12	24	11	20
CRYGD	18	26	19	19
CRYGN	19	29	10	8
CRYGS	12	26	25	18
CRYL1	44	38	23	31
CRYM	30	70	111	43
CRYZ	41	45	21	17
CRYZL1	42	51	65	49
CRYZL2P-SEC16B,SEC16B	13	24	18	12
CS	76	74	127	58
CSAD	63	67	94	36
CSAG1,CSAG2,CSAG3,CSAG4	14	26	16	16
CSDC2	33	46	40	29
CSDE1	134	232	294	187
CSE1L	107	98	122	97
CSF1	11	41	11	10
CSF1R	13	28	15	10
CSF2	10	37	21	16
CSF2RA	12	16	21	22
CSF2RB	6	19	26	18
CSF3	10	20	10	18
CSF3R	19	18	12	11
CSGALNACT1	13	19	59	14
CSGALNACT2	72	73	84	49
CSH1,CSH2,CSHL1	22	41	20	28
CSH1,GH2,CSH2	20	23	21	26
CSK	47	59	57	43
